Date;Description;Holidays/Sunday
31.07.2014;Sommerferien;1
01.08.2014;Sommerferien;1
02.08.2014;Sommerferien;1
03.08.2014;Sommerferien;1
04.08.2014;Sommerferien;1
05.08.2014;Sommerferien;1
06.08.2014;Sommerferien;1
07.08.2014;Sommerferien;1
08.08.2014;Sommerferien;1
09.08.2014;Sommerferien;1
10.08.2014;Sommerferien;1
11.08.2014;Sommerferien;1
12.08.2014;Sommerferien;1
13.08.2014;Sommerferien;1
14.08.2014;Sommerferien;1
15.08.2014;Sommerferien;1
16.08.2014;Sommerferien;1
17.08.2014;Sommerferien;1
18.08.2014;Sommerferien;1
19.08.2014;Sommerferien;1
20.08.2014;Sommerferien;1
21.08.2014;Sommerferien;1
22.08.2014;Sommerferien;1
23.08.2014;Sommerferien;1
24.08.2014;Sommerferien;1
25.08.2014;Sommerferien;1
26.08.2014;Sommerferien;1
27.08.2014;Sommerferien;1
28.08.2014;Sommerferien;1
29.08.2014;Sommerferien;1
30.08.2014;Sommerferien;1
31.08.2014;Sommerferien;1
01.09.2014;Sommerferien;1
02.09.2014;Sommerferien;1
03.09.2014;Sommerferien;1
04.09.2014;Sommerferien;1
05.09.2014;Sommerferien;1
06.09.2014;Sommerferien;1
07.09.2014;Sommerferien;1
08.09.2014;Sommerferien;1
09.09.2014;Sommerferien;1
10.09.2014;Sommerferien;1
11.09.2014;Sommerferien;1
12.09.2014;Sommerferien;1
13.09.2014;Sommerferien;1
03.10.2014;Tag der Deutschen Einheit;1
27.10.2014;Herbstferien;1
28.10.2014;Herbstferien;1
29.10.2014;Herbstferien;1
30.10.2014;Herbstferien;1
31.10.2014;Herbstferien;1
01.11.2014;Allerheiligen;1
22.12.2014;Weihnachtsferien;1
23.12.2014;Weihnachtsferien;1
24.12.2014;Weihnachtsferien;1
25.12.2014;1. Weihnachtstag;1
26.12.2014;2. Weihnachtstag;1
27.12.2014;Weihnachtsferien;1
28.12.2014;Weihnachtsferien;1
29.12.2014;Weihnachtsferien;1
30.12.2014;Weihnachtsferien;1
31.12.2014;Weihnachtsferien;1
01.01.2015;Neujahr;1
02.01.2015;Weihnachtsferien;1
03.01.2015;Weihnachtsferien;1
04.01.2015;Weihnachtsferien;1
05.01.2015;Weihnachtsferien;1
06.01.2015;Heilige Drei Koenige;1
30.03.2015;Osterferien;1
31.03.2015;Osterferien;1
01.04.2015;Osterferien;1
02.04.2015;Osterferien;1
03.04.2015;Karfreitag;1
04.04.2015;Osterferien;1
05.04.2015;Osterferien;1
06.04.2015;Ostermontag;1
07.04.2015;Osterferien;1
08.04.2015;Osterferien;1
09.04.2015;Osterferien;1
10.04.2015;Osterferien;1
01.05.2015;Tag der Arbeit;1
14.05.2015;Christi Himmelfahrt;1
25.05.2015;Pfingstmontag;1
26.05.2015;Pfingstmontag;1
27.05.2015;Pfingstmontag;1
28.05.2015;Pfingstmontag;1
29.05.2015;Pfingstmontag;1
30.05.2015;Pfingstmontag;1
31.05.2015;Pfingstmontag;1
01.06.2015;Pfingstmontag;1
02.06.2015;Pfingstmontag;1
03.06.2015;Pfingstmontag;1
04.06.2015;Fronleichnam;1
05.06.2015;Pfingstmontag;1
06.06.2015;Pfingstmontag;1
30.07.2015;Sommerferien;1
31.07.2015;Sommerferien;1
01.08.2015;Sommerferien;1
02.08.2015;Sommerferien;1
03.08.2015;Sommerferien;1
04.08.2015;Sommerferien;1
05.08.2015;Sommerferien;1
06.08.2015;Sommerferien;1
07.08.2015;Sommerferien;1
08.08.2015;Sommerferien;1
09.08.2015;Sommerferien;1
10.08.2015;Sommerferien;1
11.08.2015;Sommerferien;1
12.08.2015;Sommerferien;1
13.08.2015;Sommerferien;1
14.08.2015;Sommerferien;1
15.08.2015;Sommerferien;1
16.08.2015;Sommerferien;1
17.08.2015;Sommerferien;1
18.08.2015;Sommerferien;1
19.08.2015;Sommerferien;1
20.08.2015;Sommerferien;1
21.08.2015;Sommerferien;1
22.08.2015;Sommerferien;1
23.08.2015;Sommerferien;1
